x	E60	E70	E80	E90	E100
3,4936	21,8925	18,0206	14,9148	12,5	10,1709
3,4943	21,8907	18,0195	14,9136	12,4983	10,1695
3,5165	21,8327	17,9839	14,875	12,4441	10,1229
3,5171	21,8311	17,983	14,874	12,4426	10,1216
3,5783	21,6731	17,886	14,7689	12,2959	9,9949
3,8648	20,9743	17,4483	14,306	11,6966	9,4572
3,9731	20,7421	17,2883	14,1454	11,52	9,2871
3,9978	20,6943	17,252	14,1099	11,4837	9,2511
4,0247	20,6446	17,2128	14,0718	11,4459	9,2132
4,0499	20,5999	17,176	14,0365	11,4117	9,1789
4,1079	20,5026	17,0921	13,9573	11,3377	9,1042
4,5014	19,9087	16,5473	13,4625	10,9225	8,7095
4,6043	19,7514	16,4136	13,3395	10,8222	8,629
4,6052	19,75	16,4124	13,3384	10,8213	8,6283
4,6643	19,6587	16,3374	13,268	10,7629	8,585
4,6651	19,6575	16,3365	13,267	10,7622	8,5845
4,8776	19,3496	16,0805	13,0157	10,5501	8,4418
5,3027	18,8319	15,645	12,5631	10,1523	8,1821
5,3379	18,7935	15,6138	12,5302	10,1227	8,1605
5,3718	18,7571	15,5844	12,4994	10,0948	8,1396
5,4421	18,6835	15,5254	12,4379	10,0389	8,0955
5,6174	18,5112	15,388	12,2962	9,9095	7,9817
6,1859	18,0471	15,0163	11,9176	9,5645	7,6101
6,1871	18,0462	15,0156	11,9169	9,5638	7,6094
6,2666	17,9882	14,9706	11,8707	9,5221	7,5612
6,3079	17,9583	14,9477	11,8471	9,5008	7,5367
6,5112	17,8125	14,8401	11,7354	9,3997	7,4226
7,1701	17,3514	14,5273	11,421	9,0962	7,1181
7,2177	17,32	14,5059	11,4008	9,0749	7,0997
7,2635	17,2901	14,4853	11,3817	9,0543	7,0823
7,3585	17,2293	14,443	11,343	9,0118	7,0478
7,5472	17,1139	14,3605	11,2694	8,9283	6,9842
8,3643	16,7024	14,0384	10,9946	8,6047	6,7553
8,4198	16,6794	14,0191	10,9782	8,586	6,7409
8,4733	16,6578	14,0008	10,9627	8,5684	6,7272
8,5841	16,6147	13,9638	10,9313	8,5336	6,6986
8,7479	16,555	13,9113	10,8866	8,4853	6,6563
9,7574	16,2556	13,6194	10,6421	8,2495	6,4059
9,8222	16,2383	13,6015	10,6275	8,2368	6,3913
9,8846	16,2217	13,5842	10,6136	8,2249	6,3775
10,0138	16,1872	13,5487	10,5848	8,2006	6,3495
10,2049	16,136	13,4966	10,5427	8,1659	6,3101
11,3826	15,8276	13,2003	10,2944	7,9698	6,1109
11,458	15,8103	13,1834	10,2791	7,9576	6,1003
11,5309	15,794	13,1673	10,2644	7,9459	6,0903
11,6816	15,7615	13,1347	10,2342	7,9216	6,0703
11,9046	15,7169	13,0884	10,19	7,886	6,0421
13,1935	15,5175	12,8512	9,9462	7,6995	5,9029
13,3653	15,4949	12,8221	9,9153	7,6785	5,8862
13,3664	15,4948	12,8219	9,9151	7,6784	5,8861
