x	I60	I70	I80	I90	I100
3,5085	25,5813	22,8543	20,9612	19,2916	18,5696
3,5088	25,5821	22,8551	20,9617	19,2922	18,5699
3,5288	25,629	22,9031	20,9939	19,3253	18,5881
3,532	25,6363	22,9106	20,9989	19,3305	18,591
3,5603	25,7022	22,9781	21,0443	19,3774	18,6166
3,8143	26,2679	23,5503	21,4568	19,7646	18,8402
3,9074	26,4637	23,7428	21,609	19,8839	18,9205
3,9888	26,6295	23,9026	21,7406	19,9776	18,9903
3,9892	26,6303	23,9033	21,7412	19,978	18,9907
4,0936	26,8357	24,0962	21,9074	20,0901	19,0799
4,3925	27,376	24,578	22,3652	20,4076	19,3314
4,3928	27,3766	24,5784	22,3656	20,4079	19,3317
4,5348	27,6078	24,7735	22,5736	20,5676	19,4477
4,5645	27,654	24,8117	22,616	20,6013	19,4716
4,8679	28,0939	25,1646	23,0195	20,9417	19,7086
5,026	28,3057	25,334	23,2037	21,1099	19,8267
5,0913	28,3909	25,4033	23,2743	21,1765	19,8745
5,1889	28,5162	25,5074	23,3752	21,2725	19,9453
5,2564	28,6018	25,5803	23,4424	21,3367	19,9938
5,6419	29,0662	26,0046	23,8039	21,6821	20,2675
5,8251	29,2689	26,1978	23,9722	21,8419	20,3963
5,8631	29,3091	26,2363	24,0075	21,8751	20,4228
5,9754	29,4246	26,3463	24,1126	21,9741	20,5006
6,0532	29,5012	26,4187	24,1854	22,0427	20,5539
6,5811	29,9737	26,8366	24,6461	22,485	20,8962
6,7081	30,0823	26,923	24,7408	22,581	20,9725
6,7953	30,1571	26,98	24,8012	22,6437	21,0235
6,8372	30,1932	27,0068	24,8291	22,6729	21,0475
7,0157	30,3482	27,1174	24,9409	22,7908	21,1471
7,6276	30,8541	27,4676	25,2861	23,1416	21,4551
7,7748	30,9626	27,5489	25,3696	23,2195	21,5225
7,8736	31,0317	27,6033	25,4271	23,2713	21,5668
7,8758	31,0332	27,6045	25,4283	23,2724	21,5677
8,1313	31,1971	27,7462	25,5802	23,4058	21,6797
8,8974	31,6146	28,173	26,0125	23,7915	22,0139
9,011	31,6723	28,2339	26,0682	23,846	22,0654
9,1256	31,7303	28,2942	26,1214	23,9	22,1179
9,1281	31,7316	28,2956	26,1225	23,9012	22,119
9,4242	31,8815	28,4448	26,2482	24,0367	22,2558
10,3122	32,3116	28,8358	26,5785	24,4055	22,6426
10,4439	32,3709	28,8886	26,6271	24,4554	22,6936
10,5766	32,429	28,9408	26,6768	24,5043	22,743
10,6477	32,4594	28,9684	26,7037	24,5299	22,7688
10,9228	32,573	29,0736	26,8085	24,6259	22,865
11,952	32,9535	29,4446	27,1815	24,9614	23,2015
